ref:FR:prix-carburants,brand,name,operator,branch
65310001,Carrefour,Carrefour,Casino,
73230001,Avia,Avia,Avia,
36000016,TotalEnergies,Relais Total De Tout Vent,Total,
20115001,Esso,Esso,Esso,
36000009,TotalEnergies,Total Access,,
38220002,Total,Total,Total,
4100001,,La station U,,
2880001,,Station Marché Sa Auto Pieces,Groupement des Mousquetaires,
41500001,Station U,,Super U,
45500008,TotalEnergies,TotalEnergies,Total,
36100003,Elan,Elan,Fougère Auto,
76290001,Auchan,Auchan,Auchan,
69210002,,,Carrefour,
42300012,TotalEnergies,TotalEnergies,,
42640001,TotalEnergies,Total Contact,,
42470006,TotalEnergies,TotalEnergies,,
14990002,Intermarché,,,
1090001,Auchan,Auchan,Groupe Auchan,
41170002,Super U,Super U,,
75007004,Total,Total,,
75016026,Eni,ENI,,
51490001,Intermarché,,,
34700001,Super U,,,
80570001,Carrefour Contact,Carrefour Contact,,
80460003,Carrefour Contact,Carrefour,,
28150001,,,Carrefour Market,
69500009,TotalÉnergies Access,,Total,
77330002,Total,Relais Ozoir la Ferrière,Avia,
14470001,TotalEnergies,TotalEnergies,,
74540001,TotalEnergies,TotalEnergies,Total,
14520004,Super U,Super U,Super U,
31270007,Total Access,Total Access,,
77190005,Total Access,Total Access,,
91190001,Carrefour,Carrefour,,
53100001,Carrefour,Carrefour,,
13990002,Avia,Le Lutin des Alpilles,Avia,
6320003,Esso,Esso,,
62840004,Carrefour,,,
95270004,Avia,Avia,,
83980002,,Garage Saint-Christophe,Garage Saint-Christophe,
80380001,Total,Total,,
62130006,Total Energies,Station Essence,,
62560003,Carrefour Contact,Carrefour Contact,,
22290003,Goëlo Services,,,
74500002,Carrefour,Carrefour,,
76330002,Carrefour,Carrefour,Carrefour,
62240003,Esso Express,Esso Express,Esso Express,
80240001,Carrefour,,,
60190002,Intermarché,Intermarché,,
24350002,Intermarché,Intermarché,,
24480001,Total,Total,Poilleux,
74000014,Total Access,Relais des Alluèges,Total,
50000001,Carrefour,Carrefour station,Carrefour,
78170006,BP,Esso,Esso,
68200004,,Cora,Cora,
22220001,,La Station U,,
31450009,Dyneff,Dyneff,E. Leclerc,
73420004,E.Leclerc,Station Service E. Leclerc,,
13200016,TotalEnergies,Total Access,,
69220008,Netto,Netto,,
